period_key,mentions,status,resolution,target_date,resolved_date,offset_days,probe_date,tranco_list_id,tranco_list_created_on,download_url,rank_map_loaded,ranked_domains_subset
2014-10,5,ok,fallback_nearest_available,2014-10-15,2019-02-18,1587,2019-02-18,RNVW,2019-02-18T22:00:02.374902,https://tranco-list.eu/download/RNVW/1000000,True,128
2015-02,7,ok,fallback_nearest_available,2015-02-15,2019-02-18,1464,2019-02-18,RNVW,2019-02-18T22:00:02.374902,https://tranco-list.eu/download/RNVW/1000000,True,128
2015-10,19,ok,fallback_nearest_available,2015-10-15,2019-02-18,1222,2019-02-18,RNVW,2019-02-18T22:00:02.374902,https://tranco-list.eu/download/RNVW/1000000,True,128
2017-09,13,ok,fallback_nearest_available,2017-09-15,2019-02-18,521,2019-02-18,RNVW,2019-02-18T22:00:02.374902,https://tranco-list.eu/download/RNVW/1000000,True,128
2018-04,1,ok,fallback_nearest_available,2018-04-15,2019-02-18,309,2019-02-18,RNVW,2019-02-18T22:00:02.374902,https://tranco-list.eu/download/RNVW/1000000,True,128
2018-05,79,ok,fallback_nearest_available,2018-05-15,2019-02-18,279,2019-02-18,RNVW,2019-02-18T22:00:02.374902,https://tranco-list.eu/download/RNVW/1000000,True,128
2018-06,2,ok,fallback_nearest_available,2018-06-15,2019-02-18,248,2019-02-18,RNVW,2019-02-18T22:00:02.374902,https://tranco-list.eu/download/RNVW/1000000,True,128
2018-07,1,ok,fallback_nearest_available,2018-07-15,2019-02-18,218,2019-02-18,RNVW,2019-02-18T22:00:02.374902,https://tranco-list.eu/download/RNVW/1000000,True,128
2018-10,1,ok,fallback_nearest_available,2018-10-15,2019-02-18,126,2019-02-18,RNVW,2019-02-18T22:00:02.374902,https://tranco-list.eu/download/RNVW/1000000,True,128
2018-11,1,ok,fallback_nearest_available,2018-11-15,2019-02-18,95,2019-02-18,RNVW,2019-02-18T22:00:02.374902,https://tranco-list.eu/download/RNVW/1000000,True,128
2019-02,2,ok,nearest_date_window,2019-02-15,2019-02-18,3,2019-02-18,RNVW,2019-02-18T22:00:02.374902,https://tranco-list.eu/download/RNVW/1000000,True,128
2019-09,9,ok,nearest_date_window,2019-09-15,2019-09-16,1,2019-09-16,9WN2,2019-09-16T22:00:02.513124,https://tranco-list.eu/download/9WN2/1000000,True,130
2020-03,3,ok,nearest_date_window,2020-03-15,2020-03-16,1,2020-03-16,PWGJ,2020-03-16T22:00:02.432213,https://tranco-list.eu/download/PWGJ/1000000,True,133
2020-07,4,ok,exact_date,2020-07-15,2020-07-15,0,2020-07-15,XLZN,2020-07-15T22:00:02.478486,https://tranco-list.eu/download/XLZN/1000000,True,132
2021-06,1,ok,exact_date,2021-06-15,2021-06-15,0,2021-06-15,7Q9X,2021-06-15T22:00:02.428818,https://tranco-list.eu/download/7Q9X/1000000,True,137
2021-10,19,ok,exact_date,2021-10-15,2021-10-15,0,2021-10-15,Y33G,2021-10-15T22:00:02.826280,https://tranco-list.eu/download/Y33G/1000000,True,140
2021-11,10,ok,nearest_date_window,2021-11-15,2021-11-16,1,2021-11-16,YKQG,2021-11-16T22:00:02.700802,https://tranco-list.eu/download/YKQG/1000000,True,138
2022-03,1,ok,nearest_date_window,2022-03-15,2022-03-16,1,2022-03-16,YJ4G,2022-03-16T22:00:02.445587,https://tranco-list.eu/download/YJ4G/1000000,True,140
2022-07,1,ok,nearest_date_window,2022-07-15,2022-07-16,1,2022-07-16,Q9XQ4,2022-07-16T22:00:02.727185,https://tranco-list.eu/download/Q9XQ4/1000000,True,134
2022-08,1,ok,nearest_date_window,2022-08-15,2022-08-16,1,2022-08-16,LYQJ4,2022-08-16T22:00:02.780605,https://tranco-list.eu/download/LYQJ4/1000000,True,137
2022-10,4,ok,exact_date,2022-10-15,2022-10-15,0,2022-10-15,25749,2022-10-15T22:00:07.977828,https://tranco-list.eu/download/25749/1000000,True,136
2022-11,37,ok,exact_date,2022-11-15,2022-11-15,0,2022-11-15,N7PLW,2022-11-15T22:00:10.406732,https://tranco-list.eu/download/N7PLW/1000000,True,136
2022-12,8,ok,exact_date,2022-12-15,2022-12-15,0,2022-12-15,4KLPX,2022-12-15T22:00:10.157534,https://tranco-list.eu/download/4KLPX/1000000,True,134
2023-07,6,ok,exact_date,2023-07-15,2023-07-15,0,2023-07-15,VX59N,2023-07-15T22:00:02.787672,https://tranco-list.eu/download/VX59N/1000000,True,134
2023-12,11,ok,exact_date,2023-12-15,2023-12-15,0,2023-12-15,VXW5N,2023-12-15T22:00:02.968676,https://tranco-list.eu/download/VXW5N/1000000,True,129
2024-02,4,ok,exact_date,2024-02-15,2024-02-15,0,2024-02-15,Z32ZG,2024-02-15T22:00:02.011717,https://tranco-list.eu/download/Z32ZG/1000000,True,130
2024-03,4,ok,exact_date,2024-03-15,2024-03-15,0,2024-03-15,3NN8L,2024-03-15T22:00:01.929360,https://tranco-list.eu/download/3NN8L/1000000,True,130
2024-04,1,ok,exact_date,2024-04-15,2024-04-15,0,2024-04-15,W88P9,2024-04-15T22:00:02.411691,https://tranco-list.eu/download/W88P9/1000000,True,128
2024-07,9,ok,exact_date,2024-07-15,2024-07-15,0,2024-07-15,PNW4J,2024-07-15T22:00:02.158173,https://tranco-list.eu/download/PNW4J/1000000,True,128
2024-08,32,ok,exact_date,2024-08-15,2024-08-15,0,2024-08-15,KJ3KW,2024-08-15T22:00:01.542928,https://tranco-list.eu/download/KJ3KW/1000000,True,130
2025-05,6,ok,exact_date,2025-05-15,2025-05-15,0,2025-05-15,V9WWN,2025-05-15T22:00:03.254792,https://tranco-list.eu/download/V9WWN/1000000,True,134
